[ 3][t 4][1758618412.893341064][AnimationsManager.cpp:172][#1][!Td]	Ignore animation 11003(11003) of size (232, 130)
[ 3][t 4][1758618412.893342971][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYyxEz74u+Bf+6fOYUBQjsdAC], location = [ID = 5939581982412375214, access_hash = 6985482211415621185]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYyxEz74u+Bf+6fOYUBQjsdAC], location = [ID = 5939581982412375214, access_hash = 6985482211415621185]] from Server
[ 3][t 4][1758618412.893344640][FileManager.cpp:1789][#1][!Td]	Register [Animation, DcId{4}, [file_reference:AGjSYyxEz74u+Bf+6fOYUBQjsdAC], location = [ID = 5939581982412375214, access_hash = 6985482211415621185]] as 11256(0)
[ 3][t 4][1758618412.893346071][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 11004(0)
[ 3][t 4][1758618412.893347501][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYyxEz74u+Bf+6fOYUBQjsdAC], location = [ID = 5939581982412375214, access_hash = 6985482211415621185]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYyxEz74u+Bf+6fOYUBQjsdAC], location = [ID = 5939581982412375214, access_hash = 6985482211415621185]] from Server
[ 4][t 4][1758618412.893350601][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 220, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
[ 4][t 4][1758618412.893352270][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
[ 3][t 4][1758618412.893353700][AnimationsManager.cpp:172][#1][!Td]	Ignore animation 11004(11004) of size (320, 320)
[ 3][t 4][1758618412.893355369][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYyxI/XQ/V3di6AixFN2aLodY], location = [ID = 5765839908065248157, access_hash = -4415934745473198082]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYyxI/XQ/V3di6AixFN2aLodY], location = [ID = 5765839908065248157, access_hash = -4415934745473198082]] from Server
[ 3][t 4][1758618412.893356800][FileManager.cpp:1789][#1][!Td]	Register [Animation, DcId{4}, [file_reference:AGjSYyxI/XQ/V3di6AixFN2aLodY], location = [ID = 5765839908065248157, access_hash = -4415934745473198082]] as 11256(0)
[ 3][t 4][1758618412.893358469][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 11006(0)
[ 3][t 4][1758618412.893359661][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYyxI/XQ/V3di6AixFN2aLodY], location = [ID = 5765839908065248157, access_hash = -4415934745473198082]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYyxI/XQ/V3di6AixFN2aLodY], location = [ID = 5765839908065248157, access_hash = -4415934745473198082]] from Server
